siteId,date,phMean,phMax,phMin,phSd,phCnt,caMean,caMax,caMin,caSd,caCnt,tempMean,tempMax,tempMin,tempSd,tempCnt,uniqueSiteDates
WYDEQ_WATERSHED-MRW0191,2012-10-09,7.86,7.86,7.86,,1.0,,,,,,7.93,7.93,7.93,,1.0,2012-10-09_break_WYDEQ_WATERSHED-MRW0191
1119USBR_WQX-JAC001,2012-06-27,7.562,7.93,7.1,0.20174949106,15.0,14.65,14.7,14.6,0.0707106781187,2.0,9.22307692308,12.9,6.5,2.19740522972,13.0,2012-06-27_break_1119USBR_WQX-JAC001
1119USBR_WQX-PAL101,2012-06-27,8.025,8.1,7.95,0.106066017178,2.0,39.1,39.1,39.1,,1.0,10.6,10.6,10.6,,1.0,2012-06-27_break_1119USBR_WQX-PAL101
1119USBR_WQX-JAC101,2012-06-27,7.6,7.7,7.5,0.141421356237,2.0,14.4,14.4,14.4,,1.0,12.0,12.0,12.0,,1.0,2012-06-27_break_1119USBR_WQX-JAC101
WYDEQ_WATERSHED-MRW0163,2012-06-21,8.34,8.34,8.34,,1.0,,,,,,15.69,15.69,15.69,,1.0,2012-06-21_break_WYDEQ_WATERSHED-MRW0163
WYDEQ_WATERSHED-MRW0164,2011-10-13,8.1,8.1,8.1,,1.0,,,,,,4.61,4.61,4.61,,1.0,2011-10-13_break_WYDEQ_WATERSHED-MRW0164
1119USBR_WQX-JAC101,2010-08-05,8.195,8.39,8.0,0.275771644663,2.0,14.6,14.6,14.6,,1.0,15.4,15.4,15.4,,1.0,2010-08-05_break_1119USBR_WQX-JAC101
1119USBR_WQX-JAC001,2015-07-28,7.73375,8.58,6.7,0.586400034106,16.0,15.0333333333,15.1,15.0,0.057735026919,3.0,10.6307692308,17.7,5.2,5.45196976871,13.0,2015-07-28_break_1119USBR_WQX-JAC001
1119USBR_WQX-JAC101,2015-07-28,7.585,8.37,6.8,1.11015764646,2.0,15.5,15.5,15.5,,1.0,16.0,16.0,16.0,,1.0,2015-07-28_break_1119USBR_WQX-JAC101
11NPSWRD_WQX-GRTE_SNR01,2015-06-24,8.14,8.14,8.14,,1.0,18.0,18.5,17.5,0.707106781187,2.0,13.3,13.3,13.3,,1.0,2015-06-24_break_11NPSWRD_WQX-GRTE_SNR01
1119USBR_WQX-PAL008,2015-07-29,8.09666666667,8.64,7.5,0.400191620769,21.0,40.5666666667,42.5,39.4,1.68621864933,3.0,15.7666666667,18.7,8.8,3.39047107607,18.0,2015-07-29_break_1119USBR_WQX-PAL008
11NPSWRD_WQX-GRTE_SNR02,2015-10-08,7.99,7.99,7.99,,1.0,22.4,23.7,21.1,1.83847763109,2.0,10.38,10.38,10.38,,1.0,2015-10-08_break_11NPSWRD_WQX-GRTE_SNR02
1119USBR_WQX-JAC001,2015-06-17,7.45866666667,7.77,6.6,0.369978120331,15.0,14.4,14.7,14.1,0.424264068712,2.0,10.3461538462,16.1,5.3,3.92823441778,13.0,2015-06-17_break_1119USBR_WQX-JAC001
1119USBR_WQX-PAL008,2015-07-28,7.82681818182,8.4,6.98,0.401904826019,22.0,42.1666666667,46.2,40.0,3.49618840072,3.0,15.0526315789,19.1,7.9,3.72504562553,19.0,2015-07-28_break_1119USBR_WQX-PAL008
1119USBR_WQX-PAL008,2015-06-30,7.85,8.35,7.27,0.340617087064,21.0,44.15,47.6,40.7,4.87903679019,2.0,13.6157894737,21.2,7.1,4.42370673605,19.0,2015-06-30_break_1119USBR_WQX-PAL008
1119USBR_WQX-JAC001,2015-08-11,7.77375,8.43,6.6,0.584486954517,16.0,14.8,15.1,14.6,0.264575131106,3.0,11.6923076923,18.6,5.4,5.36492645778,13.0,2015-08-11_break_1119USBR_WQX-JAC001
1119USBR_WQX-PAL008,2015-05-27,7.96454545455,8.55,7.09,0.575646446327,22.0,46.6333333333,50.4,44.3,3.29292170167,3.0,9.09473684211,12.4,4.9,3.10652962577,19.0,2015-05-27_break_1119USBR_WQX-PAL008
11NPSWRD_WQX-GRTE_SNR02,2015-08-24,8.73,8.73,8.73,,1.0,17.2,17.3,17.1,0.141421356237,2.0,16.34,16.34,16.34,,1.0,2015-08-24_break_11NPSWRD_WQX-GRTE_SNR02
1119USBR_WQX-JAC101,2015-06-17,7.135,7.57,6.7,0.615182899632,2.0,14.4,14.4,14.4,,1.0,14.5,14.5,14.5,,1.0,2015-06-17_break_1119USBR_WQX-JAC101
11NPSWRD_WQX-GRTE_SNR01,2015-11-10,7.95,7.95,7.95,,1.0,20.2,20.3,20.1,0.141421356237,2.0,3.74,3.74,3.74,,1.0,2015-11-10_break_11NPSWRD_WQX-GRTE_SNR01
11NPSWRD_WQX-GRTE_SNR01,2015-08-25,8.0,8.0,8.0,,1.0,22.45,23.4,21.5,1.34350288425,2.0,13.53,13.53,13.53,,1.0,2015-08-25_break_11NPSWRD_WQX-GRTE_SNR01
11NPSWRD_WQX-GRTE_SNR02,2015-09-22,8.7,8.7,8.7,,1.0,18.05,18.3,17.8,0.353553390593,2.0,14.42,14.42,14.42,,1.0,2015-09-22_break_11NPSWRD_WQX-GRTE_SNR02
11NPSWRD_WQX-GRTE_SNR02,2015-06-23,8.24,8.24,8.24,,1.0,14.25,15.2,13.3,1.34350288425,2.0,16.4,16.4,16.4,,1.0,2015-06-23_break_11NPSWRD_WQX-GRTE_SNR02
11NPSWRD_WQX-GRTE_SNR02,2015-11-09,8.6,8.6,8.6,,1.0,21.484,27.0,0.12,11.9433362173,5.0,4.55,4.55,4.55,,1.0,2015-11-09_break_11NPSWRD_WQX-GRTE_SNR02
1119USBR_WQX-PAL101,2015-07-29,7.985,8.27,7.7,0.403050865276,2.0,39.1,39.1,39.1,,1.0,15.6,15.6,15.6,,1.0,2015-07-29_break_1119USBR_WQX-PAL101
11NPSWRD_WQX-GRTE_SNR02,2015-07-07,8.42,8.42,8.42,,1.0,15.25,15.3,15.2,0.0707106781187,2.0,17.7,17.7,17.7,,1.0,2015-07-07_break_11NPSWRD_WQX-GRTE_SNR02
11NPSWRD_WQX-GRTE_SNR01,2015-10-08,8.07,8.07,8.07,,1.0,20.025,20.6,19.6,0.41932485418,4.0,12.21,12.21,12.21,,1.0,2015-10-08_break_11NPSWRD_WQX-GRTE_SNR01
11NPSWRD_WQX-GRTE_SNR02,2015-04-14,,,,,,23.8,23.8,23.8,0.0,2.0,5.3,5.3,5.3,,1.0,2015-04-14_break_11NPSWRD_WQX-GRTE_SNR02
WYDEQ_WATERSHED-MRW0164,2012-06-21,7.97,7.97,7.97,,1.0,,,,,,,,,,,2012-06-21_break_WYDEQ_WATERSHED-MRW0164
